name,light_years_from_Earth,planet_mass,stellar_magnitude,discovery_data
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
17 Scorpii b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
2M0437 b,,,,
2MASS J01033563-5515561 AB b,,,,
2MASS J01225093-2439505 b,,,,
2MASS J02192210-3925225 b,,,,
2MASS J04414489+2301513 b,,,,
2MASS J12073346-3932539 b,,,,
2MASS J19383260+4603591 b,,,,
2MASS J22362452+4751425 b,,,,
30 Arietis B b,,,,
42 Draconis b,,,,
47 Ursae Majoris b,,,,
47 Ursae Majoris c,,,,
47 Ursae Majoris d,,,,
4 Ursae Majoris b,,,,
11 Comae Berenices b,,,,
11 Ursae Minoris b,,,,
14 Andromedae b,,,,
14 Herculis b,,,,
16 Cygni B b,,,,
17 Scorpii b,,,,
18 Delphini b,,,,
1RXS J160929.1-210524 b,,,,
24 Bootis b,,,,
24 Sextantis b,,,,
24 Sextantis c,,,,
2M0437 b,,,,
2MASS J01033563-5515561 AB b,,,,
2MASS J01225093-2439505 b,,,,
2MASS J02192210-3925225 b,,,,
2MASS J04414489+2301513 b,,,,
2MASS J12073346-3932539 b,,,,
2MASS J19383260+4603591 b,,,,
2MASS J22362452+4751425 b,,,,
30 Arietis B b,,,,
42 Draconis b,,,,
47 Ursae Majoris b,,,,
47 Ursae Majoris c,,,,
47 Ursae Majoris d,,,,
4 Ursae Majoris b,,,,
51 Eridani b,,,,
51 Pegasi b,,,,
55 Cancri b,,,,
55 Cancri c,,,,
55 Cancri d,,,,
55 Cancri e,,,,
55 Cancri f,,,,
61 Virginis b,,,,
61 Virginis c,,,,
61 Virginis d,,,,
6 Lyncis b,,,,
70 Virginis b,,,,
75 Ceti b,,,,
7 Canis Majoris b,,,,
7 Canis Majoris c,,,,
81 Ceti b,,,,
8 Ursae Minoris b,,,,
91 Aquarii b,,,,
AB Aurigae b,,,,
AB Pictoris b,,,,
AF Leporis b,,,,
Alpha Arietis b,,,,
Alpha Tauri b,,,,
AU Microscopii b,,,,
AU Microscopii c,,,,
b Centauri AB b,,,,
BD-00 4475 b,,,,
BD+03 2562 b,,,,
BD-06 1339 b,,,,
BD-06 1339 c,,,,
BD-08 2823 b,,,,
BD-08 2823 c,,,,
BD-10 3166 b,,,,
BD-11 4672 b,,,,
BD-11 4672 c,,,,
BD-13 2130 b,,,,
BD+14 4559 b,,,,
BD+15 2375 b,,,,
BD+15 2940 b,,,,
BD-17 63 b,,,,
BD+20 2457 b,,,,
BD+20 2457 c,,,,
BD+20 274 b,,,,
BD+20 594 b,,,,
BD+45 564 b,,,,
BD+48 738 b,,,,
BD+48 740 b,,,,
BD+49 828 b,,,,
BD+55 362 b,,,,
BD+60 1417 b,,,,
BD+63 1405 b,,,,
Beta Cancri b,,,,
Beta Pictoris b,,,,
Beta Pictoris c,,,,
Beta Ursae Minoris b,,,,
CD Ceti b,,,,
CFBDSIR J145829+101343 b,,,,
CFHTWIR-Oph 98 b,,,,
CHXR 73 b,,,,
CI Tauri b,,,,
COCONUTS-2 b,,,,
CoRoT-10 b,,,,
CoRoT-11 b,,,,
CoRoT-12 b,,,,
CoRoT-13 b,,,,
CoRoT-14 b,,,,
CoRoT-16 b,,,,
CoRoT-17 b,,,,
CoRoT-18 b,,,,
CoRoT-19 b,,,,
CoRoT-1 b,,,,
CoRoT-20 b,,,,
CoRoT-20 c,,,,
CoRoT-21 b,,,,
CoRoT-22 b,,,,
CoRoT-23 b,,,,
CoRoT-24 b,,,,
CoRoT-24 c,,,,
CoRoT-25 b,,,,
CoRoT-26 b,,,,
CoRoT-27 b,,,,
CoRoT-28 b,,,,
CoRoT-29 b,,,,
CoRoT-2 b,,,,
CoRoT-30 b,,,,
CoRoT-31 b,,,,
CoRoT-35 b,,,,
CoRoT-36 b,,,,
CoRoT-3 b,,,,
CoRoT-4 b,,,,
CoRoT-5 b,,,,
CoRoT-6 b,,,,
CoRoT-7 b,,,,
CoRoT-7 c,,,,
CoRoT-7 d,,,,
CoRoT-8 b,,,,
CoRoT-9 b,,,,
CoRoTID 223977153 b,,,,
CT Chamaleontis b,,,,
DE Canum Venaticorum b,,,,
DENIS-P J082303.1-491201 b,,,,
DH Tauri b,,,,
DMPP-1 b,,,,
DMPP-1 c,,,,
DMPP-1 d,,,,
DMPP-1 e,,,,
DMPP-2 b,,,,
DMPP-3 A b,,,,
DP Leonis b,,,,
DS Tucanae A b,,,,
EPIC 201170410.02,,,,
EPIC 201238110 b,,,,
EPIC 201427007 b,,,,
EPIC 201497682 b,,,,
EPIC 201595106 b,,,,
EPIC 201615463 c,,,,
EPIC 201754305 d,,,,
EPIC 201757695.02,,,,
EPIC 201833600 c,,,,
EPIC 201841433 b,,,,
EPIC 205950854 c,,,,
EPIC 206024342 b,,,,
EPIC 206024342 c,,,,
EPIC 206024342 d,,,,
EPIC 206032309 b,,,,
EPIC 206042996 b,,,,
EPIC 206042996 c,,,,
EPIC 206215704 b,,,,
EPIC 206317286 b,,,,
EPIC 206317286 c,,,,
EPIC 211822797 b,,,,
EPIC 211945201 b,,,,
EPIC 212297394 b,,,,
EPIC 212297394 c,,,,
EPIC 212424622 b,,,,
EPIC 212499991 b,,,,
EPIC 212587672 b,,,,
EPIC 212587672 c,,,,
EPIC 212624936 b,,,,
EPIC 212624936 c,,,,
EPIC 212737443 b,,,,
EPIC 212737443 c,,,,
EPIC 220492298 b,,,,
EPIC 220554210 c,,,,
EPIC 220674823 b,,,,
EPIC 220674823 c,,,,
EPIC 228836835 b,,,,
EPIC 229004835 b,,,,
EPIC 246851721 b,,,,
EPIC 248847494 b,,,,
EPIC 249893012 b,,,,
EPIC 249893012 c,,,,
EPIC 249893012 d,,,,
Epsilon Coronae Borealis b,,,,
Epsilon Eridani b,,,,
Epsilon Indi A b,,,,
Epsilon Tauri b,,,,
